model,rmse,r2
Linear Regression,28539.499118647487,0.5463607086587561
Ridge Regression,27155.184755485763,0.5893011434940592
Random Forest,21871.223688302714,0.7335816498604931
XGBoost,17337.799860541876,0.8325805385843386
SVD + SVR,26753.065957110142,0.6013744877837786
Stacking (RF + XGB),17524.217868390537,0.8289609571514729
